Год,Локация,Тип,Население,Лемана Про
2023,Владимирская область,область,1325510,
2024,Владимирская область,область,1309942,
2025,Владимирская область,область,1297936,
2023,Владимир,город,349315,
2024,Владимир,город,346685,
2025,Владимир,город,341579,
2023,Вологодская область,область,1128782,
2024,Вологодская область,область,1121343,
2025,Вологодская область,область,1115371,
2023,Вологда,город,318200,
2024,Вологда,город,318287,
2025,Вологда,город,311476,
2023,Череповец,город,301000,1
2024,Череповец,город,298152,1
2025,Череповец,город,298160,1
2023,Воронежская область,область,2285282,
2024,Воронежская область,область,2273417,
2025,Воронежская область,область,2260045,
2023,Воронеж,город,1049000,1
2024,Воронеж,город,1046000,1
2025,Воронеж,город,1041722,1
2023,Ивановская область,область,914725,
2024,Ивановская область,область,905900,
2025,Ивановская область,область,898490,
2023,Иваново,город,406113,1
2024,Иваново,город,405053,1
2025,Иваново,город,404598,1
2023,Костромская область,область,571900,
2024,Костромская область,область,566266,
2025,Костромская область,область,560825,
2023,Кострома,город,267000,1
2024,Кострома,город,265761,1
2025,Кострома,город,264952,1
2023,Ярославская область,область,1194605,
2024,Ярославская область,область,1187558,
2025,Ярославская область,область,1180174,
2023,Ярославль,город,567633,2
2024,Ярославль,город,563700,2
2025,Ярославль,город,563700,2
2023,Рыбинск,город,173000,
2024,Рыбинск,город,171810,
2025,Рыбинск,город,169579,
2023,Тамбовская область,область,966250,
2024,Тамбовская область,область,956292,
2025,Тамбовская область,область,946657,
2023,Тамбов,город,293000,
2024,Тамбов,город,292000,
2025,Тамбов,город,291454,
